symbol,ticker,name,asset_type,country,country_code,exchange,isin,aliases,source
XRP-USD,XRP-USD,XRP USD,Crypto,Global,,CRYPTO,,xrp ripple,ELAN curated
ADA-USD,ADA-USD,Cardano USD,Crypto,Global,,CRYPTO,,cardano ada,ELAN curated
AVAX-USD,AVAX-USD,Avalanche USD,Crypto,Global,,CRYPTO,,avalanche avax,ELAN curated
LINK-USD,LINK-USD,Chainlink USD,Crypto,Global,,CRYPTO,,chainlink link,ELAN curated
DOT-USD,DOT-USD,Polkadot USD,Crypto,Global,,CRYPTO,,polkadot dot,ELAN curated
USDT-USD,USDT-USD,Tether USD,Stablecoin,Global,,CRYPTO,,tether usdt stable coin stablecoin,ELAN curated
USDC-USD,USDC-USD,USD Coin,Stablecoin,Global,,CRYPTO,,usd coin usdc stable coin stablecoin,ELAN curated
DAI-USD,DAI-USD,Dai USD,Stablecoin,Global,,CRYPTO,,dai stable coin stablecoin,ELAN curated
DOGE-USD,DOGE-USD,Dogecoin USD,Memecoin,Global,,CRYPTO,,dogecoin doge meme coin memecoin,ELAN curated
SHIB-USD,SHIB-USD,Shiba Inu USD,Memecoin,Global,,CRYPTO,,shiba inu shib meme coin memecoin,ELAN curated
PEPE24478-USD,PEPE24478-USD,Pepe USD,Memecoin,Global,,CRYPTO,,pepe meme coin memecoin,ELAN curated
BONK-USD,BONK-USD,Bonk USD,Memecoin,Global,,CRYPTO,,bonk meme coin memecoin,ELAN curated
EURUSD=X,EURUSD=X,EUR/USD,Forex,Global,,FX,,euro dollar dolar,ELAN curated
AEDUSD=X,AEDUSD=X,AED/USD,Forex,United Arab Emirates,AE,FX,,dirham emiratos,ELAN curated
CNYUSD=X,CNYUSD=X,CNY/USD,Forex,China,CN,FX,,yuan renminbi china,ELAN curated
COPUSD=X,COPUSD=X,COP/USD,Forex,Colombia,CO,FX,,peso colombiano,ELAN curated
^GSPC,^GSPC,S&P 500 Index,Index,United States,US,INDEX,,s&p 500 index,ELAN curated
DX-Y.NYB,DX-Y.NYB,US Dollar Index,Index,United States,US,ICE,,dollar index dxy usd dolar,ELAN curated
^IBEX,^IBEX,IBEX 35 Index,Index,Spain,ES,INDEX,,ibex 35,ELAN curated
^HSI,^HSI,Hang Seng Index,Index,Hong Kong,HK,INDEX,,hang seng,ELAN curated
AAPL,AAPL,Apple Inc,Stock,United States,US,NASDAQ,US0378331005,apple,ELAN curated
MSFT,MSFT,Microsoft Corporation,Stock,United States,US,NASDAQ,US5949181045,microsoft,ELAN curated
NVDA,NVDA,NVIDIA Corporation,Stock,United States,US,NASDAQ,US67066G1040,nvidia,ELAN curated
ASML,ASML,ASML Holding ADR,Stock,Netherlands,NL,NASDAQ,USN070592100,asml,ELAN curated
SAN.MC,SAN,Banco Santander SA,Stock,Spain,ES,BME,ES0113900J37,santander,ELAN curated
ITX.MC,ITX,Industria de Diseño Textil SA,Stock,Spain,ES,BME,ES0148396007,inditex zara,ELAN curated
IBE.MC,IBE,Iberdrola SA,Stock,Spain,ES,BME,ES0144580Y14,iberdrola,ELAN curated
BBVA.MC,BBVA,Banco Bilbao Vizcaya Argentaria SA,Stock,Spain,ES,BME,ES0113211835,bbva,ELAN curated
0700.HK,0700,Tencent Holdings Ltd,Stock,China,CN,HKEX,KYG875721634,tencent,ELAN curated
9988.HK,9988,Alibaba Group Holding Ltd,Stock,China,CN,HKEX,KYG017191142,alibaba,ELAN curated
600519.SS,600519,Kweichow Moutai Co Ltd,Stock,China,CN,SSE,CNE0000018R8,moutai,ELAN curated
000001.SZ,000001,Ping An Bank Co Ltd,Stock,China,CN,SZSE,CNE000000040,ping an bank,ELAN curated
EMAAR.DU,EMAAR,Emaar Properties PJSC,Stock,United Arab Emirates,AE,DFM,AEE000301011,emaar dubai,ELAN curated
FAB.AD,FAB,First Abu Dhabi Bank PJSC,Stock,United Arab Emirates,AE,ADX,AEN000101016,first abu dhabi bank,ELAN curated
ALDAR.AD,ALDAR,Aldar Properties PJSC,Stock,United Arab Emirates,AE,ADX,AEA002001013,aldar,ELAN curated
EC,EC,Ecopetrol SA ADR,Stock,Colombia,CO,NYSE,US2791581091,ecopetrol,ELAN curated
